title,gnis_name,state,locatio
Unnamed Dam,,PA, 
New Jersey No Name # 126 Dam,,NJ, 
Greenfield Dam,,Ontario,Greenfield, Ontario, Canada
Readstown Dam (Fowell Dam),Kickapoo River,WI,Readstown, Wisconsin
Lower Montsweag Dam,Montsweag Brook,ME, 
Browns Pond - Cruzen,Lake Fork,, 
Prairie Dells Dam,Prairie River,WI, 
Fredricksburgh Milstead A Dam,Massaponax Creek,VA, 
Cahill Dam,Branciforte Creek,CA, 
Sharrer's Mill Dam,Conewago Creek,PA, 
Whitehall Dam,Trempealeau River,WI,Whitehall, Wisconsin
Ballard Mill Mine Dam,,TN, 
Shealy's Pond Dam,,SC, 
Martin Brook Upper Dam,Martin Brook,ME, 
Nevius Street Dam,Raritan River,NJ, 
Amish Dam #5,Muddy Creek,PA, 
Burt Lake Dam,,OH, 
Willever Lake Dam,Pohatcong Creek,NJ, 
Mitchell Dam,Bear River,MI, 
Churchill Woods,East Branch Du Page River,IL, 
Vaux #2 Dam,Lone Tree Creek,MT, 
Waubeka Dam,Milwaukee River,WI, 
Lake Bettinger Complex Dam,,AK, 
Rockford Dam,Shell Rock River,IA, 
Wolf Mill Dam,Logan Spring Run,PA, 
Upper Grove City Dam,Wolf Creek,PA, 
Liberty Mills Dam,,IN, 
Baldwin Creek Dam 3,Baldwin Creek,OH, 
Grayling Dam,Au Sable River,MI, 
Buck Street Dam,Suncook River,NH, 
Rush Brook Dam,Rush Brook,PA, 
Chair Factory Dam,Milwaukee River,WI, 
Lowell Dam,Little River,NC,North Carolina
Red Mill Dam,Batten Kill,VT, 
Mt. Penn #3 Dam,,PA, 
McGaheysville Dam,South Fork Shenandoah River,VA, 
Pomeroy Memorial Dam,West Branch Sugar Creek,PA, 
Munroe Falls Dam,Cuyahoga River,OH,Munroe Falls, Ohio
Bangor Dam,Penobscot River,ME, 
Eagle Lake Dam,Summit Brook,NY, 
Maiden Dam,Touchet River,WA, 
Bendigo State Park Dam,East Branch Clarion River,PA, 
